"Title","Author","Additional Authors","ISBN","ISBN13","My Rating","Average Rating","Publisher","Binding","Year Published","Original Publication Year","Date Read","Date Added","Bookshelves","My Review","Spoiler","Private Notes","Recommended For","Recommended By"
"Het leven is vurrukkulluk:","Campert Remco","","[9789023422082]","","3","","De Bezige Bij","Paperback","","","","","","","","","",""
"Het gouden ei:","Tim Krabbé","","[9789001548254]","","3","","Wolters-Noordhoff","Paperback","","","","","","","","","",""
"Kort Amerikaans:","Wolkers Jan","","[9789029071406]","","3","","Uitgeverij Meulenhoff","Paperback","","","","","","","","","",""
"Een slagerszoon met een brilletje:","Tom Lanoye","","[9789035102354]","","5","","B. Bakker","Others","","","","","","","","","",""
"After Dark - A Format:","Haruki Murakami","","[9780099520863]","","4","","","Paperback","","","","","","Totally unlike any other novel i've ever read when it comes to style. Reminiscent of Japanese cinema when it comes to story.","","","",""
"Halting State:","Charles Stross","","[9781841496948]","","5","","Orbit","Paperback","","","","","","Charles Stross mixes up hip tech such as augmented reality, ubiquitous computing and virtual worlds to create an believable and exciting near future backdrop to this funny and fast paced crime novel.","","","",""
"A spot of bother:","Mark Haddon","","[9780099507437]","","4","","Random House UK","Others","","","","","","sometimes slightly unnerving but mostly touching and funny. although quite unlike my own family it did somehow feel familiar.","","","",""
"Woede en tijd:een politiek-psychologisch essay","Sloterdijk Peter","","[9789085064169]","","","","Uitgeverij Boom","Paperback","","","","","","","","","",""
"Dune:","Frank Herbert","","[9780450035692]","","4","","Ace","Mass Market Paperback","","","","","","","","","",""
"Debatable Space:","Philip Palmer","","[9781841496191]","","5","","Orbit","Paperback","","","","","","Invokes a universe with an epic scale on par with star wars but does so with a sense of humor. Space pirates with existential angst.","","","",""
"Little Brother:","Cory Doctorow","","[9780007288427]","","4","","HarperVoyager","Paperback","","","","","","While i was slightly annoyed with the many sidetracks and explanations in the beginning this book ended up really sucking me in.</p><p>It does a great job of illustrating the thornier issues of security technology. If you ever wonder how all this tech might affect your day to day life this is a must read. Freedom vs. Security and all that jive.","","","",""
"Good Omens:The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman","","[9780060853983]","","3","","HarperTorch","Mass Market Paperback","","","","","","entertaining read but not very remarkable","","","",""
"Everyware:The Dawning Age of Ubiquitous Computing","Adam Greenfield","","[9780321384010]","","4","","New Riders Publishing","Paperback","","","","","","For some reason i had a hard time finishing this one, got distracted by other books a lot. Eventually i must conclude this is a good read though and especially worthwhile if you have any interest in the concept of ubiquitous computing. It summarizes most of what has been going on in this field up until 2004 and adds some rather evocative questions every designer of everywhere should ask his- or himself.","","","",""
"American gods:","Neil Gaiman","","[9780380789030]","","5","","HarperTorch","Mass Market Paperback","","","","","","","","","",""
"Middlesex:","Jeffrey Eugenides","","[9780747561620]","","","","Bloomsbury Publishing PLC","Paperback","","","","","","","","","",""
"The Liar:","Stephen Fry","","[9780099457053]","","4","","ARROW (RAND)","Paperback","","","","","","","","","",""
"After Tamerlane:The Rise and Fall of Global Empires, 1400-2000","John Darwin","","[9780141010229]","","","","Penguin Books Ltd","Paperback","","","","","","","","","",""
"Andy Warhol:","Victor Bockris","","[9789041701824]","","4","","Uitgeverij de Kern","Paperback","","","","","","","","","",""
"On the Road:","Jack Kerouac","","[9780140042597]","","4","","Penguin (Non-Classics)","Paperback","","","","","","","","","",""
"An awesome book!:","Dallas Clayton","","[9780979274831]","","5","","","","","","","","","for kids big and small","","","",""
"Dress Your Family in Corduroy and Denim:","David Sedaris","","[9780349116709]","","4","","Abacus","Paperback","","","","","","","","","",""
"Building Scalable Web Sites:Building, Scaling, and Optimizing the Next Generation of Web Applications","Cal Henderson","","[9780596102357]","","4","","O'Reilly Media, Inc.","Paperback","","","","","","","","","",""
